Entidad federativa,1991,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aguascalientes,483,213,851,"4,166",45,"1,549",266,902,810,609,"2,672","4,735",925,"4,943",521
Baja California,335,"12,846","13,811","38,959","14,064","19,509","27,301","18,889","15,639","18,589","5,728","50,949","17,999","38,518","53,946"
Baja California Sur,511,2,9,"2,097","1,165",32,78,"18,741","6,435","1,941",284,77,11,78,218
Campeche,"2,326","1,713","1,505","1,832",400,"4,748",408,"4,606","1,876","6,530","5,177","13,818","3,150","14,647","10,946"
Coahuila,"2,460","9,240",8.988,3.809,"4,611","424,541","32,189",164,"2,485",725,"4,137","10,290","14,129","6,847","4,982"
Colima,"1,942","4,473",389,"1,200",637,104,611,"2,388",172,116,"6,120","2,030","1,279","5,279","3,500"
Chiapas,"25,413","24,193","28,623","23,508","7,698","14,435","8,982","20,323","2,261","5,105","9,908","13,002","11,756","31,197","17,574"
Chihuahua,"8,607","14,475","28,177","4,673","7,689","87,920","51,903","30,554","17,601","1,974","13,418","87,230","160,927","41,639","8,196"
Ciudad de Méxic,"4,320","2,565","1,395","1,667","1,160","4,416",408,"2,780",882,788,844,"2,345","2,342",3.242,"1,738"
Durango,"41,626","36,665","47,009","13,041","5,084","42,005","51,626","19,761","8,434",659,"9,908","41,009","38,293","64,670","12,901"
Guanajuato,"3,534","1,056","2,123","1,986",65,"2,385",429,"3,877",399,677,"2,380","7,665","3,747","19,174",903
Guerrero,"16,621","5,236","26,862","18,004","10,712","12,818","15,177","26,622","7,301","5,487","11,184","24,068","22,077","43,633","46,541"
Hidalgo,"1,804","2,376",613,"1,220",310,"4,076",553,"5,238",558,113,"3,206","2,959","1,468","1,732","2,040"
Jalisco,"12,926","17,005","12,420","28,407","6,299","28,781","24,478","48,331","7,706","8,019","68,265","189,815","44,403","72,268","29,391"
Méxic,13.814,"13,811","6,835","7,422","3,127","9,284","2,651","9,790","2,172","1,387","5,935","11,743","7,812","13,498","10,032"
Michoacá,"13,500","6,186","7,846","17,444","6,779","11,840","13,745","16,210","4,729","1,366","18,098","14,490","12,676","14,353","19,787"
Morelos,"1,485",528,967,455,277,"2,522","1,391","4,287",931,385,"1,476","3,406","1,607","3,618","1,902"
Nayarit,"12,680","4,683","2,887","16,509","2,421","4,560","4,766","5,478",357,453,"2,740","32,293","17,996","49,568","11,740"
Nuevo Leó,"1,057","4,815",340,"1,416",613,"17,935",289,583,154,81,"1,196",734,"3,511",946,"1,453"
Oaxaca,"15,344","8,464",12.203,"30,938","13,180","18,176","15,387","31,245","11,071","11,176","21,288",42.08,"19,642","68,624",18.306
Puebla,"4,045","4,251","2,679",8.215,"5,823","10,902","3,484","9,047","3,745","2,118","9,174","10,787","5,297","18,727","10,567"
Querétar,"3,758","1,924","1,044","2,167",529,"2,776",780,"1,231",124,58,"1,413","2,557",228,"4,877",488
Quintana Roo,"24,330","59,986","2,203","5,761","5,739","79,022","1,015","24,653","1,409","5,572","2,301","9,631","6,855","12,795","41,688"
San Luis Potosi,"15,706","9,645","4,628","3,656",499,"13,497",427,"11,945",298,379,"2,989","4,378","2,195","23,932","2,395"
Sinaloa,"2,825","1,574","4,716","2,104","1,820","4,084","4,516","4,415",347,502,"1,557",3.354,"10,121","7,850","1,543"
Sonora,"9,860","5,009","5,542",3.348,"5,306","63,237","75,202","69,856","49,781","1,960","39,271","104,324","51,875","24,373","8,528"
Tabasco,586,"4,431","1,874","1,773","1,230",289,"1,525","4,339","4,659",696,"3,049",986,"4,352","5,844","1,293"
Tamaulipas,"4,624","4,639","1,290","1,175",545,"15,959",205,"2,498",65,228,641,"2,670","4,339","6,221",359
Tlaxcala,496,514,"1,422",514,500,"1,602",815,"1,147",366,267,"1,498","2,395","1,767","3,340","2,437"
Veracruz,"4,025","1,841",219,"1,265","1,233","3,665",918,"6,691","1,276","1,156","3,013","3,220","1,251","11,841","3,240"
Yucatá,7.226,"1,087","1,108","4,323","3,463","7,458",749,"2,598",984,"8,646","7,021","11,008","1,851","5,691","10,014"
Zacatecas,"10,997","43,641","5,337","23,040","1,700","42,279","5,625","4,030",512,779,"6,887","16,315","12,281","9,709","4,945"
Nacional,"269,266","309,087","235,915","276,089","114,723","956,405","347,901","413,216","155,534","88,538","272,776","726,361","488,162","633,678","344,113"
